Tahun,JPY
2025-Januari,10.52363
2024-Desember,10.23625
2024-November,10.45301
2024-Oktober,10.25989
2024-September,10.56644
2024-Agustus,10.6493
2024-Juli,10.54026
2024-Juni,10.22765
2024-Mei,10.35322
2024-April,10.44516
2024-Maret,10.45058
2024-Februari,10.39634
2024-Januari,10.723
2023-Desember,10.95471
2023-November,10.44223
2023-Oktober,10.64509
2023-September,10.42
2023-Agustus,10.41
2023-Juli,10.791
2023-Juni,10.492
2023-Mei,10.673
2023-April,11.024
2023-Maret,11.371
2023-Februari,11.224
2023-Januari,11.548
2022-Desember,11.757
2022-November,11.39248
2022-Oktober,10.56452
2022-September,10.53588
2022-Agustus,10.74434
2022-Juli,11.03382
2022-Juni,10.90363
2022-Mei,11.42454
2022-April,11.26803
2022-Maret,11.79388
2022-Februari,12.53304
2022-Januari,12.44732
2021-Desember,12.38898
2021-November,12.65332
2021-Oktober,12.49693
2021-September,12.85156
2021-Agustus,13.08691
2021-Juli,13.19404
2021-Juni,13.10551
2021-Mei,13.02508
2021-April,13.27644
2021-Maret,13.16648
2021-Februari,13.42929
2021-Januari,13.48204
2020-Desember,13.64714
2020-November,13.60097
2020-Oktober,14.02722
2020-September,14.1142
2020-Agustus,13.80116
2020-Juli,13.94529
2020-Juni,13.28011
2020-Mei,13.71534
2020-April,14.20326
2020-Maret,15.0862
2020-Februari,13.01871
2020-Januari,12.52418
2019-Desember,12.79665
2019-November,12.87795
2019-Oktober,12.891
2019-September,13.13564
2019-Agustus,13.36495
2019-Juli,12.92065
2019-Juni,13.13915
2019-Mei,13.16404
2019-April,12.73689
2019-Maret,12.85618
2019-Februari,12.68275
2019-Januari,12.92611
2018-Desember,13.11151
2018-November,12.6463
2018-Oktober,13.45914
2018-September,13.14462
2018-Agustus,13.25614
2018-Juli,12.98294
2018-Juni,13.03707
2018-Mei,12.83973
2018-April,12.71895
2018-Maret,12.90553
2018-Februari,12.79056
2018-Januari,12.31738
2017-Desember,12.02184
2017-November,12.06662
2017-Oktober,12.00159
2017-September,11.98012
2017-Agustus,12.084
2017-Juli,12.06193
2017-Juni,12.00073
2017-Mei,11.98849
2017-April,11.99065
2017-Maret,11.88474
2017-Februari,11.8561
2017-Januari,11.7741
2016-Desember,11.54048
2016-November,12.08017
2016-Oktober,12.44494
2016-September,12.87378
2016-Agustus,12.91702
2016-Juli,12.58798
2016-Juni,12.83102
2016-Mei,12.25639
2016-April,12.30168
2016-Maret,11.81824
2016-Februari,11.81479
2016-Januari,11.67504
2015-Desember,11.45242
2015-November,11.27358
2015-Oktober,11.27984
2015-September,12.23201
2015-Agustus,11.57488
2015-Juli,10.87397
2015-Juni,10.89572
2015-Mei,10.68204
2015-April,10.88836
2015-Maret,10.89472
2015-Februari,10.78432
2015-Januari,10.69916
2014-Desember,10.42488
2014-November,10.32248
2014-Oktober,11.04338
2014-September,11.17037
2014-Agustus,11.29731
2014-Juli,11.39
2014-Juni,11.815
2014-Mei,11.435
2014-April,11.261
2014-Maret,11.165
2014-Februari,11.419
2014-Januari,11.955
2013-Desember,11.617
2013-November,11.68
2013-Oktober,11.415
2013-September,11.869
2013-Agustus,11.129
2013-Juli,10.486
2013-Juni,10.035
2013-Mei,9.705
2013-April,9.925
2013-Maret,10.323
2013-Februari,10.46
2013-Januari,10.676
2012-Desember,11.197
2012-November,11.644
2012-Oktober,12.09
2012-September,12.364
2012-Agustus,12.174
2012-Juli,12.135
2012-Juni,11.963
2012-Mei,12.141
2012-April,11.467
2012-Maret,11.176
2012-Februari,11.275
2012-Januari,11.792
2011-Desember,11.68
2011-November,11.772
2011-Oktober,11.186
2011-September,11.524
2011-Agustus,11.099
2011-Juli,10.955
2011-Juni,10.672
2011-Mei,10.522
2011-April,10.513
2011-Maret,10.514
2011-Februari,10.795
2011-Januari,11.036
2010-Desember,11.029
2010-November,10.713
2010-Oktober,11.08
2010-September,10.677
2010-Agustus,10.714
2010-Juli,10.35
2010-Juni,10.258
2010-Mei,10.04
2010-April,9.574
2010-Maret,9.771
2010-Februari,10.231
2010-Januari,10.41
2009-Desember,10.17
2009-November,10.933
2009-Oktober,10.454
2009-September,10.779
2009-Agustus,10.85
2009-Juli,10.412
2009-Juni,10.659
2009-Mei,10.729
2009-April,10.975
2009-Maret,11.794
2009-Februari,12.266
2009-Januari,12.676
2008-Desember,12.123
2008-November,12.743
2008-Oktober,11.194
2008-September,8.853
2008-Agustus,8.39
2008-Juli,8.445
2008-Juni,8.672
2008-Mei,8.827
2008-April,8.865
2008-Maret,9.227
2008-Februari,7.926
2008-Januari,8.732
2007-Desember,8.307
2007-November,8.516
2007-Oktober,7.932
2007-September,7.935
2007-Agustus,8.107
2007-Juli,7.724
2007-Juni,7.347
2007-Mei,7.266
2007-April,7.266
2007-Maret,7.758
2007-Februari,7.733
2007-Januari,7.473
2006-Desember,7.58
2006-November,7.886
2006-Oktober,7.755
2006-September,7.841
2006-Agustus,7.767
2006-Juli,7.913
2006-Juni,8.096
2006-Mei,8.22
2006-April,7.672
2006-Maret,7.698
2006-Februari,7.926
2006-Januari,8.008
2005-Desember,8.342
2005-November,8.392
2005-Oktober,8.725
2005-September,9.124
2005-Agustus,9.211
2005-Juli,8.747
2005-Juni,8.799
2005-Mei,8.776
2005-April,9.041
2005-Maret,8.848
2005-Februari,8.835
2005-Januari,8.844
2004-Desember,9.042
2004-November,8.74
2004-Oktober,8.561
2004-September,8.264
2004-Agustus,8.508
2004-Juli,8.188
2004-Juni,8.68
2004-Mei,8.384
2004-April,7.856
2004-Maret,8.212
2004-Februari,7.715
2004-Januari,7.964
2003-Desember,7.917
2003-November,7.814
2003-Oktober,7.807
2003-September,7.553
2003-Agustus,7.286
2003-Juli,7.081
2003-Juni,6.913
2003-Mei,6.926
2003-April,7.263
2003-Maret,7.45
2003-Februari,7.564
2003-Januari,7.449
2002-Desember,7.54
2002-November,7.338
2002-Oktober,7.507
2002-September,7.412
2002-Agustus,7.509
2002-Juli,7.6
2002-Juni,7.309
2002-Mei,7.12203
2002-April,7.26961
2002-Maret,7.29043
2002-Februari,7.6117
2002-Januari,7.77989
2001-Desember,7.916
2001-November,8.415
2001-Oktober,8.55855
2001-September,8.11152
2001-Agustus,7.45366
2001-Juli,7.62947
2001-Juni,9.22024
2001-Mei,9.21733
2001-April,9.42066
2001-Maret,8.37
2001-Februari,8.45297
2001-Januari,8.13149
